output_len,hidden_size,num_layers,dropout,learning_rate,batch_size,weight_decay
1,32,2,0.1,0.0017852567504394556,8,1.9048254404518154e-05
6,256,2,0.1,0.00012201620304831017,32,0.00046242986593718306
