month,LinearRegression_rmse,LinearRegression_mae,SimpleRNN_rmse,SimpleRNN_mae,LSTM_rmse,LSTM_mae
1,0.4771,0.3853,0.7140,0.5573,0.4367,0.3545
2,0.5553,0.4444,0.6960,0.5480,0.5705,0.4662
3,0.6235,0.4996,0.6890,0.5645,0.5713,0.4611
4,0.6297,0.5094,0.7834,0.6513,0.5408,0.4377
5,0.6447,0.5067,0.7387,0.6190,0.5871,0.4679
6,0.5850,0.4577,0.8363,0.6898,0.5340,0.4176
