variant,rmse,mae,mape,r2
E7(基线),0.5014471298788469,0.396736269456531,6.462463576401426,0.9794560649334765
移除滞后,0.48273612091121404,0.38290271548320753,6.240817652807999,0.9809606145371139
移除掩码,0.5157540839194791,0.4160838019884325,6.708558020739557,0.9782670497905448
单编码器,0.6115946678238979,0.45523211543348596,7.04168931780371,0.9694394817597851
aux D=0,0.5228897516528027,0.4158551168660504,6.91007802576955,0.9776615212731699
